HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
1 3 7			0.0		0.0		0.0		0.2	0.1893	39.2755843192	5.3372
1 1 15			0.0		0.0		1.99		0.16693	0.656	61.3839959686	20.6242
3 1 1			0.41		0.41		1.16		0.16708	0.5239	28.3131072915	41.7464
2 6 4			-0.26		0.16		1.42		0.16967	0.8772	60.3635846112	78.02
6 0 8			-0.1		0.05		1.52		0.16757	2.9234	64.163237895	5.3359
5 3 7			0.15		0.2		1.22		0.16764	0.2523	60.5057581853	5.4388
0 4 4			-0.06		0.15		1.28		0.16966	0.8482	39.0545896029	78.0016
3 3 3			0.08		0.22		1.12		0.16966	0.8081	39.7679129272	70.9373
1 3 3			0.06		0.28		1.0		0.16968	0.7045	30.3940112777	66.1614
3 1 9			0.04		0.32		0.93		0.16982	0.36	45.2950695798	8.7768
4 2 8			0.04		0.36		0.84		0.16963	0.7605	51.4203212226	2.5419
3 1 15			0.04		0.4		0.76		0.16965	0.2871	67.3554895111	7.7692
1 3 15			0.03		0.43		0.7		0.16963	0.2862	67.3623786269	8.1809
1 7 7			0.01		0.45		0.67		0.17109	0.4353	72.3061031614	6.1143
0 6 8			-0.1		0.34		0.78		0.16893	0.7694	64.1950429677	5.6946
3 3 7			0.01		0.36		0.75		0.16913	0.1558	47.1418707618	3.5073
5 1 13			-0.11		0.25		0.86		0.16252	0.4567	71.2764535317	11.3258
4 0 4			-0.04		0.21		0.9		0.16364	1.2165	39.0343929222	79.1487
7 1 7			0.02		0.23		0.87		0.1643	0.3505	72.2660298289	5.0526
3 5 7			0.02		0.25		0.82		0.16437	0.2309	60.5203777188	5.6046
1 1 7			-0.01		0.23		0.84		0.1685	0.2012	29.7561292971	6.5386
5 1 7			0.02		0.25		0.8		0.16865	0.2609	54.1000446603	4.252
3 7 3			0.02		0.27		0.76		0.16865	0.8954	72.6346668965	71.6226
4 4 2			0.01		0.28		0.74		0.16868	1.2125	52.0311030722	128.6454
2 4 8			0.01		0.29		0.72		0.16861	0.1687	51.4325245866	2.4593
0 6 12			0.0		0.3		0.71		0.16863	0.3425	75.0250979777	1.887
3 1 3			0.01		0.3		0.7		0.16863	1.2003	30.3814370344	67.5761
2 0 6			0.01		0.32		0.67		0.16863	1.6278	29.1406672869	128.8477
5 5 7			0.01		0.32		0.66		0.16897	0.6639	72.2860687267	4.3062
2 4 12			-0.04		0.28		0.7		0.16901	0.2205	63.4791913795	4.8908
1 3 1			0.01		0.29		0.69		0.16905	0.5324	28.3265170018	42.1271
1 3 9			0.01		0.3		0.67		0.16905	0.2622	45.3040218183	7.1674
0 2 8			-0.03		0.27		0.7		0.16631	0.1155	35.7619852008	1.7384
0 2 0			0.0		0.27		0.69		0.16631	1.4407	17.6394681947	177.2483
3 1 7			0.01		0.28		0.67		0.16642	0.257	39.2655360855	5.205
2 2 2			0.01		0.29		0.66		0.16648	1.1162	26.2109248846	125.5642
7 3 3			0.01		0.3		0.64		0.16648	1.9283	72.601334037	69.5466
2 2 0			-0.06		0.24		0.69		0.16648	11.1953	25.0390113278	1035.9387
2 0 8			-0.02		0.22		0.71		0.16427	0.1665	35.7565424018	1.5727
6 0 12			0.01		0.23		0.7		0.16427	0.5892	74.995462768	0.9301
5 5 3			0.01		0.24		0.68		0.16427	0.8107	66.8760743485	64.1048
3 3 9			-0.01		0.23		0.69		0.16426	0.3816	52.4524123761	12.0632
3 3 15			-0.01		0.22		0.7		0.16423	0.3402	73.0835579415	3.8877
6 2 4			-0.04		0.18		0.74		0.16497	0.8727	60.3342977717	77.9073
